 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Alpha in  Havar.txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.992E+01  2.611E+01      44 A        66 A        48 A   
   1.10 keV   3.138E+01  2.633E+01      47 A        70 A        52 A   
   1.20 keV   3.278E+01  2.650E+01      51 A        75 A        55 A   
   1.30 keV   3.412E+01  2.663E+01      55 A        79 A        58 A   
   1.40 keV   3.541E+01  2.673E+01      58 A        83 A        61 A   
   1.50 keV   3.665E+01  2.680E+01      62 A        87 A        64 A   
   1.60 keV   3.785E+01  2.685E+01      66 A        91 A        67 A   
   1.70 keV   3.902E+01  2.688E+01      69 A        95 A        70 A   
   1.80 keV   4.015E+01  2.690E+01      73 A        99 A        73 A   
   2.00 keV   4.232E+01  2.689E+01      80 A       107 A        79 A   
   2.25 keV   4.489E+01  2.681E+01      89 A       116 A        86 A   
   2.50 keV   4.731E+01  2.669E+01      98 A       125 A        93 A   
   2.75 keV   4.962E+01  2.654E+01     107 A       134 A       100 A   
   3.00 keV   5.183E+01  2.637E+01     117 A       143 A       107 A   
   3.25 keV   5.395E+01  2.617E+01     126 A       152 A       114 A   
   3.50 keV   5.598E+01  2.597E+01     135 A       160 A       120 A   
   3.75 keV   5.795E+01  2.575E+01     144 A       168 A       126 A   
