 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Alpha in Helium500Torr.txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.058E-02  1.635E-01    3.60 um     1.32 um     9250 A   
   1.10 keV   5.305E-02  1.589E-01    3.98 um     1.44 um     1.01 um  
   1.20 keV   5.541E-02  1.545E-01    4.37 um     1.56 um     1.10 um  
   1.30 keV   5.767E-02  1.505E-01    4.76 um     1.68 um     1.18 um  
   1.40 keV   5.985E-02  1.466E-01    5.16 um     1.80 um     1.27 um  
   1.50 keV   6.195E-02  1.430E-01    5.57 um     1.91 um     1.36 um  
   1.60 keV   6.398E-02  1.396E-01    5.97 um     2.03 um     1.45 um  
   1.70 keV   6.595E-02  1.363E-01    6.39 um     2.14 um     1.54 um  
   1.80 keV   6.786E-02  1.332E-01    6.80 um     2.25 um     1.62 um  
   2.00 keV   7.153E-02  1.276E-01    7.64 um     2.48 um     1.80 um  
   2.25 keV   7.587E-02  1.212E-01    8.71 um     2.75 um     2.03 um  
   2.50 keV   7.998E-02  1.156E-01    9.80 um     3.02 um     2.26 um  
   2.75 keV   8.388E-02  1.105E-01   10.90 um     3.29 um     2.49 um  
   3.00 keV   8.761E-02  1.059E-01   12.01 um     3.54 um     2.72 um  
   3.25 keV   9.119E-02  1.018E-01   13.13 um     3.79 um     2.95 um  
   3.50 keV   9.463E-02  9.803E-02   14.25 um     4.04 um     3.17 um  
   3.75 keV   9.795E-02  9.457E-02   15.38 um     4.28 um     3.40 um  
