 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Alpha in Ice.txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.166E+01  2.397E+01     185 A       100 A        75 A   
   1.10 keV   1.223E+01  2.344E+01     204 A       108 A        82 A   
   1.20 keV   1.278E+01  2.294E+01     222 A       116 A        88 A   
   1.30 keV   1.330E+01  2.246E+01     240 A       125 A        95 A   
   1.40 keV   1.380E+01  2.201E+01     259 A       133 A       101 A   
   1.50 keV   1.428E+01  2.157E+01     278 A       141 A       108 A   
   1.60 keV   1.475E+01  2.115E+01     297 A       150 A       114 A   
   1.70 keV   1.521E+01  2.075E+01     315 A       158 A       120 A   
   1.80 keV   1.565E+01  2.037E+01     334 A       166 A       127 A   
   2.00 keV   1.649E+01  1.965E+01     373 A       181 A       140 A   
   2.25 keV   1.749E+01  1.883E+01     421 A       200 A       156 A   
   2.50 keV   1.844E+01  1.809E+01     469 A       219 A       171 A   
   2.75 keV   1.934E+01  1.741E+01     518 A       237 A       187 A   
   3.00 keV   2.020E+01  1.680E+01     566 A       255 A       202 A   
   3.25 keV   2.102E+01  1.623E+01     615 A       273 A       217 A   
   3.50 keV   2.182E+01  1.571E+01     664 A       290 A       232 A   
   3.75 keV   2.258E+01  1.523E+01     713 A       306 A       247 A   
   4.00 keV   2.332E+01  1.478E+01     762 A       322 A       261 A   
   4.50 keV   2.474E+01  1.397E+01     860 A       353 A       290 A   
