 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Al.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.624E+01  3.713E+02      30 A        15 A        11 A   
   1.10 keV   4.850E+01  3.843E+02      31 A        16 A        11 A   
   1.20 keV   5.065E+01  3.963E+02      33 A        16 A        12 A   
   1.30 keV   5.272E+01  4.074E+02      34 A        17 A        12 A   
   1.40 keV   5.471E+01  4.178E+02      36 A        18 A        13 A   
   1.50 keV   5.663E+01  4.275E+02      37 A        18 A        13 A   
   1.60 keV   5.849E+01  4.367E+02      39 A        19 A        14 A   
   1.70 keV   6.029E+01  4.453E+02      40 A        19 A        14 A   
   1.80 keV   6.204E+01  4.534E+02      42 A        20 A        15 A   
   2.00 keV   6.539E+01  4.684E+02      44 A        21 A        16 A   
   2.25 keV   6.936E+01  4.851E+02      47 A        22 A        17 A   
   2.50 keV   7.311E+01  5.001E+02      51 A        24 A        18 A   
   2.75 keV   7.668E+01  5.135E+02      54 A        25 A        18 A   
   3.00 keV   8.009E+01  5.257E+02      57 A        26 A        19 A   
   3.25 keV   8.336E+01  5.367E+02      60 A        27 A        20 A   
   3.50 keV   8.651E+01  5.469E+02      63 A        28 A        21 A   
   3.75 keV   8.954E+01  5.562E+02      65 A        29 A        22 A   
   4.00 keV   9.248E+01  5.649E+02      68 A        31 A        23 A   
   4.50 keV   9.809E+01  5.803E+02      74 A        33 A        24 A   
   5.00 keV   1.034E+02  5.937E+02      79 A        35 A        26 A   
