 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in  Havar.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.126E+01  6.034E+02      14 A        10 A         7 A   
   1.10 keV   5.376E+01  6.264E+02      14 A        11 A         8 A   
   1.20 keV   5.615E+01  6.478E+02      15 A        11 A         8 A   
   1.30 keV   5.844E+01  6.677E+02      16 A        12 A         8 A   
   1.40 keV   6.065E+01  6.864E+02      17 A        12 A         9 A   
   1.50 keV   6.278E+01  7.040E+02      17 A        13 A         9 A   
   1.60 keV   6.484E+01  7.206E+02      18 A        13 A         9 A   
   1.70 keV   6.683E+01  7.363E+02      18 A        14 A        10 A   
   1.80 keV   6.877E+01  7.512E+02      19 A        14 A        10 A   
   2.00 keV   7.249E+01  7.789E+02      20 A        15 A        11 A   
   2.25 keV   7.689E+01  8.102E+02      22 A        16 A        11 A   
   2.50 keV   8.104E+01  8.383E+02      23 A        17 A        12 A   
   2.75 keV   8.500E+01  8.638E+02      25 A        17 A        12 A   
   3.00 keV   8.878E+01  8.871E+02      26 A        18 A        13 A   
   3.25 keV   9.240E+01  9.086E+02      28 A        19 A        14 A   
   3.50 keV   9.589E+01  9.284E+02      29 A        20 A        14 A   
   3.75 keV   9.926E+01  9.468E+02      30 A        21 A        15 A   
