 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Helium (gas).txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  4.5056E-03 g/cm3 = 9.0442E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.213E-01  1.681E+00    9746 A      1679 A      1252 A   
   1.10 keV   1.273E-01  1.736E+00    1.03 um     1754 A      1316 A   
   1.20 keV   1.329E-01  1.787E+00    1.08 um     1825 A      1378 A   
   1.30 keV   1.384E-01  1.834E+00    1.13 um     1893 A      1437 A   
   1.40 keV   1.436E-01  1.878E+00    1.17 um     1959 A      1495 A   
   1.50 keV   1.486E-01  1.918E+00    1.22 um     2023 A      1551 A   
   1.60 keV   1.535E-01  1.956E+00    1.26 um     2085 A      1606 A   
   1.70 keV   1.582E-01  1.992E+00    1.31 um     2145 A      1660 A   
   1.80 keV   1.628E-01  2.025E+00    1.35 um     2204 A      1713 A   
   2.00 keV   1.716E-01  2.087E+00    1.44 um     2319 A      1815 A   
   2.25 keV   1.820E-01  2.155E+00    1.54 um     2456 A      1938 A   
   2.50 keV   1.919E-01  2.216E+00    1.64 um     2587 A      2057 A   
   2.75 keV   2.012E-01  2.269E+00    1.74 um     2713 A      2171 A   
   3.00 keV   2.102E-01  2.318E+00    1.84 um     2834 A      2283 A   
   3.25 keV   2.188E-01  2.362E+00    1.93 um     2951 A      2391 A   
   3.50 keV   2.270E-01  2.402E+00    2.02 um     3065 A      2497 A   
   3.75 keV   2.350E-01  2.438E+00    2.11 um     3176 A      2600 A   
   4.00 keV   2.427E-01  2.471E+00    2.20 um     3285 A      2701 A   
