 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Helium500Torr.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.327E-02  1.292E+00    1.27 um     2185 A      1630 A   
   1.10 keV   9.782E-02  1.335E+00    1.34 um     2282 A      1712 A   
   1.20 keV   1.022E-01  1.374E+00    1.40 um     2374 A      1792 A   
   1.30 keV   1.063E-01  1.410E+00    1.46 um     2463 A      1870 A   
   1.40 keV   1.104E-01  1.443E+00    1.53 um     2549 A      1945 A   
   1.50 keV   1.142E-01  1.474E+00    1.59 um     2632 A      2018 A   
   1.60 keV   1.180E-01  1.503E+00    1.65 um     2713 A      2090 A   
   1.70 keV   1.216E-01  1.531E+00    1.70 um     2791 A      2160 A   
   1.80 keV   1.251E-01  1.557E+00    1.76 um     2868 A      2228 A   
   2.00 keV   1.319E-01  1.604E+00    1.87 um     3017 A      2361 A   
   2.25 keV   1.399E-01  1.656E+00    2.01 um     3196 A      2522 A   
   2.50 keV   1.475E-01  1.703E+00    2.14 um     3366 A      2676 A   
   2.75 keV   1.547E-01  1.744E+00    2.26 um     3530 A      2825 A   
   3.00 keV   1.615E-01  1.782E+00    2.39 um     3687 A      2970 A   
   3.25 keV   1.681E-01  1.815E+00    2.51 um     3840 A      3111 A   
   3.50 keV   1.745E-01  1.846E+00    2.63 um     3988 A      3248 A   
   3.75 keV   1.806E-01  1.874E+00    2.75 um     4133 A      3383 A   
   4.00 keV   1.865E-01  1.899E+00    2.86 um     4273 A      3515 A   
