 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Ar46 in Ice.txt

 Ion = Argon [18] , Mass = 46 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.892E+01  2.277E+02      63 A        20 A        15 A   
   1.10 keV   1.984E+01  2.354E+02      66 A        21 A        16 A   
   1.20 keV   2.072E+01  2.425E+02      70 A        22 A        16 A   
   1.30 keV   2.157E+01  2.490E+02      73 A        23 A        17 A   
   1.40 keV   2.238E+01  2.552E+02      76 A        23 A        18 A   
   1.50 keV   2.317E+01  2.609E+02      79 A        24 A        18 A   
   1.60 keV   2.393E+01  2.662E+02      82 A        25 A        19 A   
   1.70 keV   2.466E+01  2.712E+02      85 A        26 A        20 A   
   1.80 keV   2.538E+01  2.759E+02      88 A        26 A        20 A   
   2.00 keV   2.675E+01  2.847E+02      93 A        28 A        21 A   
   2.25 keV   2.838E+01  2.944E+02     100 A        29 A        23 A   
   2.50 keV   2.991E+01  3.030E+02     107 A        31 A        24 A   
   2.75 keV   3.137E+01  3.107E+02     113 A        33 A        25 A   
   3.00 keV   3.276E+01  3.176E+02     119 A        34 A        26 A   
   3.25 keV   3.410E+01  3.239E+02     125 A        36 A        28 A   
   3.50 keV   3.539E+01  3.297E+02     131 A        37 A        29 A   
   3.75 keV   3.663E+01  3.350E+02     137 A        38 A        30 A   
   4.00 keV   3.783E+01  3.398E+02     143 A        40 A        31 A   
   4.50 keV   4.013E+01  3.485E+02     154 A        42 A        33 A   
