 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuteron in Al.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.032E+01  5.327E+00     171 A       162 A       125 A   
   1.10 keV   2.132E+01  5.235E+00     186 A       173 A       133 A   
   1.20 keV   2.226E+01  5.144E+00     202 A       183 A       142 A   
   1.30 keV   2.317E+01  5.056E+00     218 A       193 A       150 A   
   1.40 keV   2.405E+01  4.969E+00     234 A       203 A       158 A   
   1.50 keV   2.489E+01  4.885E+00     250 A       212 A       166 A   
   1.60 keV   2.571E+01  4.803E+00     266 A       221 A       173 A   
   1.70 keV   2.650E+01  4.724E+00     281 A       230 A       180 A   
   1.80 keV   2.727E+01  4.648E+00     297 A       238 A       188 A   
   2.00 keV   2.874E+01  4.502E+00     328 A       254 A       202 A   
   2.25 keV   3.049E+01  4.334E+00     367 A       273 A       219 A   
   2.50 keV   3.213E+01  4.178E+00     406 A       291 A       235 A   
   2.75 keV   3.370E+01  4.035E+00     444 A       308 A       250 A   
   3.00 keV   3.520E+01  3.903E+00     482 A       324 A       265 A   
   3.25 keV   3.664E+01  3.781E+00     519 A       339 A       279 A   
   3.50 keV   3.802E+01  3.667E+00     557 A       353 A       292 A   
   3.75 keV   3.936E+01  3.561E+00     593 A       367 A       305 A   
   4.00 keV   4.065E+01  3.462E+00     630 A       380 A       318 A   
   4.50 keV   4.283E+01  3.282E+00     702 A       404 A       342 A   
   5.00 keV   4.488E+01  3.123E+00     774 A       427 A       365 A   
