 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuteron in  Havar.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.351E+01  7.324E+00      76 A       115 A        85 A   
   1.10 keV   2.465E+01  7.299E+00      83 A       123 A        91 A   
   1.20 keV   2.575E+01  7.266E+00      90 A       131 A        97 A   
   1.30 keV   2.680E+01  7.227E+00      97 A       138 A       103 A   
   1.40 keV   2.781E+01  7.183E+00     104 A       145 A       108 A   
   1.50 keV   2.879E+01  7.136E+00     111 A       152 A       114 A   
   1.60 keV   2.973E+01  7.087E+00     118 A       159 A       119 A   
   1.70 keV   3.065E+01  7.036E+00     125 A       166 A       124 A   
   1.80 keV   3.154E+01  6.984E+00     132 A       173 A       129 A   
   2.00 keV   3.324E+01  6.877E+00     147 A       186 A       140 A   
   2.25 keV   3.526E+01  6.742E+00     164 A       202 A       152 A   
   2.50 keV   3.717E+01  6.608E+00     183 A       217 A       164 A   
   2.75 keV   3.898E+01  6.477E+00     201 A       232 A       176 A   
   3.00 keV   4.072E+01  6.349E+00     219 A       246 A       187 A   
   3.25 keV   4.238E+01  6.226E+00     237 A       259 A       198 A   
   3.50 keV   4.398E+01  6.107E+00     255 A       273 A       209 A   
   3.75 keV   4.552E+01  5.992E+00     274 A       286 A       220 A   
