 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuteron_in_Helium500Torr.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.398E-03  3.988E-02   11.25 um     5.13 um     3.68 um  
   1.10 keV   9.857E-03  3.802E-02   12.74 um     5.71 um     4.15 um  
   1.20 keV   1.030E-02  3.636E-02   14.28 um     6.31 um     4.63 um  
   1.30 keV   1.072E-02  3.486E-02   15.87 um     6.90 um     5.12 um  
   1.40 keV   1.112E-02  3.349E-02   17.51 um     7.51 um     5.63 um  
   1.50 keV   1.151E-02  3.225E-02   19.18 um     8.12 um     6.15 um  
   1.60 keV   1.189E-02  3.111E-02   20.89 um     8.73 um     6.68 um  
   1.70 keV   1.225E-02  3.006E-02   22.64 um     9.35 um     7.21 um  
   1.80 keV   1.261E-02  2.909E-02   24.42 um     9.96 um     7.76 um  
   2.00 keV   1.329E-02  2.735E-02   28.09 um    11.20 um     8.87 um  
   2.25 keV   1.410E-02  2.549E-02   32.82 um    12.75 um    10.31 um  
   2.50 keV   1.486E-02  2.390E-02   37.71 um    14.30 um    11.76 um  
   2.75 keV   1.559E-02  2.253E-02   42.73 um    15.85 um    13.24 um  
   3.00 keV   1.628E-02  2.132E-02   47.85 um    17.38 um    14.74 um  
   3.25 keV   1.694E-02  2.025E-02   53.08 um    18.90 um    16.24 um  
   3.50 keV   1.758E-02  1.930E-02   58.39 um    20.40 um    17.75 um  
   3.75 keV   1.820E-02  1.845E-02   63.77 um    21.88 um    19.26 um  
