 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in  Havar.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.324E+01  3.725E+00      72 A       104 A        78 A   
   1.10 keV   3.487E+01  3.711E+00      78 A       111 A        83 A   
   1.20 keV   3.642E+01  3.693E+00      85 A       117 A        87 A   
   1.30 keV   3.790E+01  3.672E+00      91 A       123 A        92 A   
   1.40 keV   3.934E+01  3.649E+00      98 A       129 A        97 A   
   1.50 keV   4.072E+01  3.624E+00     104 A       135 A       101 A   
   1.60 keV   4.205E+01  3.598E+00     110 A       141 A       106 A   
   1.70 keV   4.335E+01  3.572E+00     117 A       146 A       110 A   
   1.80 keV   4.460E+01  3.544E+00     123 A       152 A       114 A   
   2.00 keV   4.701E+01  3.489E+00     136 A       162 A       123 A   
   2.25 keV   4.981E+01  3.419E+00     152 A       174 A       133 A   
   2.50 keV   5.244E+01  3.350E+00     168 A       186 A       142 A   
   2.75 keV   5.494E+01  3.282E+00     184 A       198 A       152 A   
   3.00 keV   5.731E+01  3.217E+00     200 A       208 A       161 A   
   3.25 keV   5.957E+01  3.153E+00     216 A       219 A       169 A   
   3.50 keV   6.172E+01  3.092E+00     232 A       229 A       178 A   
   3.75 keV   6.376E+01  3.033E+00     248 A       239 A       186 A   
