 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuteron_in_Ice.txt

 Ion = Hydrogen [1] , Mass = 2 amu

 Target Density =  9.2000E-01 g/cm3 = 4.9250E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    025.00    059.96   
      H      1    050.00    004.48   
      O      8    025.00    035.56   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.261E+00  3.275E+00     464 A       361 A       283 A   
   1.10 keV   7.615E+00  3.172E+00     510 A       388 A       306 A   
   1.20 keV   7.954E+00  3.077E+00     555 A       415 A       328 A   
   1.30 keV   8.279E+00  2.988E+00     601 A       440 A       349 A   
   1.40 keV   8.591E+00  2.906E+00     646 A       465 A       371 A   
   1.50 keV   8.893E+00  2.829E+00     692 A       489 A       391 A   
   1.60 keV   9.184E+00  2.757E+00     737 A       513 A       411 A   
   1.70 keV   9.467E+00  2.690E+00     782 A       536 A       431 A   
   1.80 keV   9.742E+00  2.627E+00     828 A       558 A       451 A   
   2.00 keV   1.027E+01  2.510E+00     918 A       600 A       488 A   
   2.25 keV   1.089E+01  2.382E+00    1030 A       650 A       534 A   
   2.50 keV   1.148E+01  2.268E+00    1142 A       697 A       577 A   
   2.75 keV   1.204E+01  2.167E+00    1252 A       742 A       619 A   
   3.00 keV   1.258E+01  2.077E+00    1362 A       784 A       659 A   
   3.25 keV   1.309E+01  1.995E+00    1470 A       824 A       697 A   
   3.50 keV   1.358E+01  1.920E+00    1578 A       863 A       734 A   
   3.75 keV   1.406E+01  1.852E+00    1685 A       899 A       770 A   
   4.00 keV   1.452E+01  1.790E+00    1790 A       933 A       805 A   
   4.50 keV   1.529E+01  1.679E+00    2000 A       998 A       871 A   
