 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H3 in Aluminum.txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.479E+01  7.768E+00     182 A       174 A       132 A   
   1.10 keV   1.551E+01  7.639E+00     200 A       186 A       142 A   
   1.20 keV   1.620E+01  7.512E+00     217 A       199 A       152 A   
   1.30 keV   1.686E+01  7.386E+00     235 A       210 A       162 A   
   1.40 keV   1.750E+01  7.263E+00     253 A       222 A       171 A   
   1.50 keV   1.811E+01  7.144E+00     271 A       233 A       180 A   
   1.60 keV   1.871E+01  7.027E+00     289 A       244 A       189 A   
   1.70 keV   1.928E+01  6.915E+00     306 A       255 A       198 A   
   1.80 keV   1.984E+01  6.805E+00     324 A       266 A       207 A   
   2.00 keV   2.092E+01  6.597E+00     360 A       286 A       224 A   
   2.25 keV   2.218E+01  6.355E+00     405 A       310 A       245 A   
   2.50 keV   2.338E+01  6.132E+00     450 A       334 A       265 A   
   2.75 keV   2.453E+01  5.925E+00     494 A       356 A       284 A   
   3.00 keV   2.562E+01  5.735E+00     539 A       377 A       303 A   
   3.25 keV   2.666E+01  5.557E+00     584 A       397 A       321 A   
   3.50 keV   2.767E+01  5.393E+00     628 A       417 A       339 A   
   3.75 keV   2.864E+01  5.239E+00     672 A       435 A       356 A   
   4.00 keV   2.958E+01  5.095E+00     716 A       453 A       373 A   
   4.50 keV   3.137E+01  4.834E+00     803 A       487 A       405 A   
   5.00 keV   3.307E+01  4.602E+00     889 A       519 A       436 A   
