 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H3 in Havar (ICRU-470).txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.919E+01  1.081E+01      78 A       115 A        85 A   
   1.10 keV   2.013E+01  1.077E+01      85 A       123 A        91 A   
   1.20 keV   2.103E+01  1.073E+01      92 A       132 A        97 A   
   1.30 keV   2.188E+01  1.067E+01      99 A       139 A       103 A   
   1.40 keV   2.271E+01  1.061E+01     107 A       147 A       109 A   
   1.50 keV   2.351E+01  1.054E+01     114 A       155 A       115 A   
   1.60 keV   2.428E+01  1.047E+01     121 A       162 A       121 A   
   1.70 keV   2.503E+01  1.040E+01     129 A       170 A       127 A   
   1.80 keV   2.575E+01  1.032E+01     136 A       177 A       132 A   
   2.00 keV   2.714E+01  1.017E+01     151 A       191 A       143 A   
   2.25 keV   2.879E+01  9.973E+00     170 A       209 A       157 A   
   2.50 keV   3.035E+01  9.779E+00     189 A       225 A       170 A   
   2.75 keV   3.183E+01  9.588E+00     209 A       242 A       183 A   
   3.00 keV   3.324E+01  9.402E+00     228 A       258 A       196 A   
   3.25 keV   3.460E+01  9.222E+00     247 A       273 A       208 A   
   3.50 keV   3.591E+01  9.047E+00     267 A       288 A       220 A   
   3.75 keV   3.717E+01  8.879E+00     287 A       303 A       232 A   
