 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H3 in Helium (gas).txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  4.5056E-03 g/cm3 = 9.0442E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    9.984E-03  7.077E-02    7.52 um     2.98 um     2.03 um  
   1.10 keV   1.047E-02  6.766E-02    8.51 um     3.32 um     2.29 um  
   1.20 keV   1.094E-02  6.486E-02    9.53 um     3.67 um     2.55 um  
   1.30 keV   1.138E-02  6.232E-02   10.59 um     4.02 um     2.82 um  
   1.40 keV   1.181E-02  6.000E-02   11.68 um     4.38 um     3.11 um  
   1.50 keV   1.223E-02  5.788E-02   12.81 um     4.74 um     3.40 um  
   1.60 keV   1.263E-02  5.593E-02   13.96 um     5.11 um     3.69 um  
   1.70 keV   1.302E-02  5.412E-02   15.14 um     5.48 um     4.00 um  
   1.80 keV   1.339E-02  5.245E-02   16.34 um     5.85 um     4.31 um  
   2.00 keV   1.412E-02  4.944E-02   18.84 um     6.61 um     4.95 um  
   2.25 keV   1.498E-02  4.620E-02   22.08 um     7.57 um     5.79 um  
   2.50 keV   1.579E-02  4.342E-02   25.46 um     8.54 um     6.66 um  
   2.75 keV   1.656E-02  4.100E-02   28.96 um     9.52 um     7.55 um  
   3.00 keV   1.729E-02  3.887E-02   32.57 um    10.51 um     8.46 um  
   3.25 keV   1.800E-02  3.699E-02   36.27 um    11.50 um     9.40 um  
   3.50 keV   1.868E-02  3.530E-02   40.06 um    12.49 um    10.35 um  
   3.75 keV   1.933E-02  3.378E-02   43.94 um    13.48 um    11.31 um  
