 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\H3 in Water_Liquid (ICRU-276).txt

 Ion = Hydrogen [1] , Mass = 3 amu

 Target Density =  9.2000E-01 g/cm3 = 9.2268E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    7.719E+00  7.469E+00     393 A       222 A       175 A   
   1.10 keV   8.096E+00  7.203E+00     434 A       241 A       190 A   
   1.20 keV   8.456E+00  6.960E+00     475 A       260 A       206 A   
   1.30 keV   8.801E+00  6.735E+00     517 A       278 A       222 A   
   1.40 keV   9.133E+00  6.528E+00     558 A       296 A       237 A   
   1.50 keV   9.454E+00  6.335E+00     600 A       313 A       252 A   
   1.60 keV   9.764E+00  6.156E+00     642 A       330 A       267 A   
   1.70 keV   1.006E+01  5.989E+00     683 A       347 A       282 A   
   1.80 keV   1.036E+01  5.832E+00     725 A       363 A       297 A   
   2.00 keV   1.092E+01  5.547E+00     809 A       395 A       325 A   
   2.25 keV   1.158E+01  5.234E+00     914 A       432 A       360 A   
   2.50 keV   1.220E+01  4.961E+00    1018 A       468 A       394 A   
   2.75 keV   1.280E+01  4.720E+00    1122 A       502 A       427 A   
   3.00 keV   1.337E+01  4.505E+00    1225 A       534 A       458 A   
   3.25 keV   1.392E+01  4.312E+00    1327 A       565 A       489 A   
   3.50 keV   1.444E+01  4.137E+00    1429 A       594 A       519 A   
   3.75 keV   1.495E+01  3.979E+00    1530 A       622 A       548 A   
   4.00 keV   1.544E+01  3.834E+00    1630 A       649 A       576 A   
   4.50 keV   1.637E+01  3.578E+00    1828 A       700 A       630 A   
