 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in Aluminum.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.482E+01  1.570E+01      97 A       102 A        77 A   
   1.10 keV   2.603E+01  1.565E+01     105 A       109 A        82 A   
   1.20 keV   2.719E+01  1.559E+01     114 A       116 A        87 A   
   1.30 keV   2.830E+01  1.551E+01     123 A       123 A        93 A   
   1.40 keV   2.937E+01  1.542E+01     131 A       129 A        98 A   
   1.50 keV   3.040E+01  1.532E+01     140 A       135 A       103 A   
   1.60 keV   3.140E+01  1.522E+01     148 A       142 A       108 A   
   1.70 keV   3.237E+01  1.511E+01     157 A       148 A       112 A   
   1.80 keV   3.330E+01  1.500E+01     165 A       154 A       117 A   
   2.00 keV   3.511E+01  1.477E+01     182 A       165 A       126 A   
   2.25 keV   3.723E+01  1.449E+01     203 A       179 A       138 A   
   2.50 keV   3.925E+01  1.420E+01     225 A       193 A       149 A   
   2.75 keV   4.116E+01  1.393E+01     246 A       206 A       159 A   
   3.00 keV   4.299E+01  1.365E+01     267 A       218 A       170 A   
   3.25 keV   4.475E+01  1.339E+01     288 A       230 A       180 A   
   3.50 keV   4.644E+01  1.313E+01     309 A       242 A       189 A   
   3.75 keV   4.807E+01  1.289E+01     330 A       253 A       199 A   
   4.00 keV   4.965E+01  1.265E+01     351 A       264 A       208 A   
   4.50 keV   5.266E+01  1.221E+01     393 A       285 A       227 A   
   5.00 keV   5.551E+01  1.179E+01     435 A       305 A       244 A   
