 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in  Havar.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    3.455E+01  1.995E+01      43 A        67 A        50 A   
   1.10 keV   3.624E+01  2.011E+01      47 A        72 A        53 A   
   1.20 keV   3.785E+01  2.023E+01      50 A        76 A        56 A   
   1.30 keV   3.940E+01  2.033E+01      54 A        80 A        59 A   
   1.40 keV   4.088E+01  2.040E+01      57 A        85 A        62 A   
   1.50 keV   4.232E+01  2.045E+01      61 A        89 A        65 A   
   1.60 keV   4.371E+01  2.049E+01      65 A        93 A        68 A   
   1.70 keV   4.505E+01  2.051E+01      68 A        97 A        71 A   
   1.80 keV   4.636E+01  2.051E+01      72 A       100 A        74 A   
   2.00 keV   4.886E+01  2.050E+01      79 A       108 A        80 A   
   2.25 keV   5.183E+01  2.044E+01      88 A       117 A        87 A   
   2.50 keV   5.463E+01  2.034E+01      96 A       126 A        94 A   
   2.75 keV   5.730E+01  2.022E+01     105 A       135 A       101 A   
   3.00 keV   5.985E+01  2.008E+01     114 A       143 A       107 A   
   3.25 keV   6.229E+01  1.993E+01     123 A       151 A       113 A   
   3.50 keV   6.464E+01  1.976E+01     132 A       159 A       120 A   
   3.75 keV   6.691E+01  1.960E+01     141 A       167 A       126 A   
