 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in Helium500Torr.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    5.841E-02  1.365E-01    3.77 um     1.53 um     1.07 um  
   1.10 keV   6.126E-02  1.322E-01    4.17 um     1.66 um     1.17 um  
   1.20 keV   6.398E-02  1.283E-01    4.58 um     1.80 um     1.27 um  
   1.30 keV   6.659E-02  1.246E-01    5.00 um     1.93 um     1.37 um  
   1.40 keV   6.911E-02  1.212E-01    5.42 um     2.06 um     1.47 um  
   1.50 keV   7.153E-02  1.179E-01    5.84 um     2.19 um     1.57 um  
   1.60 keV   7.388E-02  1.149E-01    6.27 um     2.32 um     1.68 um  
   1.70 keV   7.615E-02  1.120E-01    6.70 um     2.44 um     1.78 um  
   1.80 keV   7.836E-02  1.093E-01    7.13 um     2.57 um     1.88 um  
   2.00 keV   8.260E-02  1.044E-01    8.00 um     2.81 um     2.09 um  
   2.25 keV   8.761E-02  9.885E-02    9.11 um     3.11 um     2.34 um  
   2.50 keV   9.235E-02  9.399E-02   10.22 um     3.40 um     2.60 um  
   2.75 keV   9.686E-02  8.966E-02   11.35 um     3.68 um     2.85 um  
   3.00 keV   1.012E-01  8.578E-02   12.47 um     3.95 um     3.11 um  
   3.25 keV   1.053E-01  8.227E-02   13.61 um     4.21 um     3.36 um  
   3.50 keV   1.093E-01  7.908E-02   14.74 um     4.46 um     3.60 um  
   3.75 keV   1.131E-01  7.617E-02   15.87 um     4.71 um     3.85 um  
