 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He3 in Water_Liquid.txt

 Ion = Helium [2] , Mass = 3 amu

 Target Density =  9.2000E-01 g/cm3 = 9.2268E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = 2.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.172E+01  1.753E+01     201 A       125 A        96 A   
   1.10 keV   1.229E+01  1.713E+01     221 A       136 A       104 A   
   1.20 keV   1.284E+01  1.675E+01     241 A       146 A       113 A   
   1.30 keV   1.336E+01  1.638E+01     261 A       156 A       121 A   
   1.40 keV   1.387E+01  1.604E+01     280 A       166 A       129 A   
   1.50 keV   1.436E+01  1.571E+01     301 A       176 A       137 A   
   1.60 keV   1.483E+01  1.539E+01     321 A       186 A       145 A   
   1.70 keV   1.528E+01  1.509E+01     341 A       196 A       153 A   
   1.80 keV   1.573E+01  1.481E+01     361 A       206 A       161 A   
   2.00 keV   1.658E+01  1.427E+01     402 A       225 A       177 A   
   2.25 keV   1.758E+01  1.366E+01     453 A       247 A       196 A   
   2.50 keV   1.853E+01  1.312E+01     504 A       270 A       215 A   
   2.75 keV   1.944E+01  1.262E+01     556 A       291 A       234 A   
   3.00 keV   2.030E+01  1.217E+01     607 A       312 A       252 A   
   3.25 keV   2.113E+01  1.175E+01     658 A       332 A       270 A   
   3.50 keV   2.193E+01  1.137E+01     710 A       352 A       287 A   
   3.75 keV   2.270E+01  1.102E+01     761 A       371 A       305 A   
   4.00 keV   2.344E+01  1.069E+01     812 A       390 A       322 A   
   4.50 keV   2.486E+01  1.010E+01     914 A       425 A       355 A   
