 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Alpha in Al.txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.411E+01  2.028E+01      96 A        94 A        71 A   
   1.10 keV   2.529E+01  2.022E+01     105 A       101 A        76 A   
   1.20 keV   2.641E+01  2.015E+01     113 A       107 A        81 A   
   1.30 keV   2.749E+01  2.005E+01     122 A       114 A        86 A   
   1.40 keV   2.853E+01  1.995E+01     130 A       120 A        91 A   
   1.50 keV   2.953E+01  1.983E+01     139 A       126 A        95 A   
   1.60 keV   3.050E+01  1.970E+01     147 A       132 A       100 A   
   1.70 keV   3.144E+01  1.957E+01     156 A       138 A       104 A   
   1.80 keV   3.235E+01  1.944E+01     164 A       143 A       109 A   
   2.00 keV   3.410E+01  1.916E+01     181 A       154 A       118 A   
   2.25 keV   3.617E+01  1.880E+01     202 A       168 A       129 A   
   2.50 keV   3.812E+01  1.845E+01     223 A       181 A       139 A   
   2.75 keV   3.998E+01  1.810E+01     245 A       193 A       149 A   
   3.00 keV   4.176E+01  1.775E+01     266 A       205 A       159 A   
   3.25 keV   4.347E+01  1.742E+01     287 A       217 A       169 A   
   3.50 keV   4.511E+01  1.710E+01     308 A       229 A       178 A   
   3.75 keV   4.669E+01  1.678E+01     329 A       240 A       187 A   
   4.00 keV   4.822E+01  1.648E+01     350 A       250 A       196 A   
   4.50 keV   5.115E+01  1.591E+01     392 A       271 A       214 A   
   5.00 keV   5.391E+01  1.538E+01     433 A       291 A       231 A   
