 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\He4 in Helium (gas).txt

 Ion = Helium [2] , Mass = 4 amu

 Target Density =  4.5056E-03 g/cm3 = 9.0442E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    6.581E-02  2.127E-01    2.77 um     1.02 um     7110 A   
   1.10 keV   6.902E-02  2.067E-01    3.06 um     1.11 um     7767 A   
   1.20 keV   7.209E-02  2.011E-01    3.36 um     1.20 um     8428 A   
   1.30 keV   7.503E-02  1.958E-01    3.66 um     1.29 um     9094 A   
   1.40 keV   7.787E-02  1.908E-01    3.97 um     1.38 um     9765 A   
   1.50 keV   8.060E-02  1.860E-01    4.28 um     1.47 um     1.04 um  
   1.60 keV   8.324E-02  1.816E-01    4.59 um     1.56 um     1.11 um  
   1.70 keV   8.581E-02  1.774E-01    4.91 um     1.65 um     1.18 um  
   1.80 keV   8.829E-02  1.734E-01    5.23 um     1.73 um     1.25 um  
   2.00 keV   9.307E-02  1.660E-01    5.87 um     1.90 um     1.39 um  
   2.25 keV   9.871E-02  1.577E-01    6.70 um     2.12 um     1.56 um  
   2.50 keV   1.041E-01  1.504E-01    7.53 um     2.32 um     1.74 um  
   2.75 keV   1.091E-01  1.438E-01    8.38 um     2.52 um     1.91 um  
   3.00 keV   1.140E-01  1.378E-01    9.23 um     2.72 um     2.09 um  
   3.25 keV   1.186E-01  1.325E-01   10.09 um     2.92 um     2.26 um  
   3.50 keV   1.231E-01  1.275E-01   10.95 um     3.10 um     2.44 um  
   3.75 keV   1.274E-01  1.230E-01   11.82 um     3.29 um     2.61 um  
