 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\K47 in Al.txt

 Ion = Potassium [19] , Mass = 47 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.112E+01  3.819E+02      29 A        15 A        11 A   
   1.10 keV   4.313E+01  3.955E+02      31 A        16 A        11 A   
   1.20 keV   4.505E+01  4.081E+02      33 A        16 A        12 A   
   1.30 keV   4.689E+01  4.198E+02      34 A        17 A        12 A   
   1.40 keV   4.866E+01  4.307E+02      36 A        18 A        13 A   
   1.50 keV   5.036E+01  4.409E+02      37 A        18 A        13 A   
   1.60 keV   5.202E+01  4.505E+02      38 A        19 A        14 A   
   1.70 keV   5.362E+01  4.596E+02      40 A        19 A        14 A   
   1.80 keV   5.517E+01  4.681E+02      41 A        20 A        15 A   
   2.00 keV   5.816E+01  4.840E+02      44 A        21 A        15 A   
   2.25 keV   6.168E+01  5.017E+02      47 A        22 A        16 A   
   2.50 keV   6.502E+01  5.175E+02      50 A        24 A        17 A   
   2.75 keV   6.819E+01  5.318E+02      53 A        25 A        18 A   
   3.00 keV   7.123E+01  5.447E+02      56 A        26 A        19 A   
   3.25 keV   7.413E+01  5.565E+02      59 A        27 A        20 A   
   3.50 keV   7.693E+01  5.674E+02      62 A        28 A        21 A   
   3.75 keV   7.963E+01  5.774E+02      65 A        29 A        22 A   
   4.00 keV   8.224E+01  5.866E+02      67 A        30 A        23 A   
   4.50 keV   8.723E+01  6.032E+02      73 A        32 A        24 A   
   5.00 keV   9.195E+01  6.176E+02      78 A        34 A        26 A   
