 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\K47 in  Havar.txt

 Ion = Potassium [19] , Mass = 47 amu

 Target Density =  8.3000E+00 g/cm3 = 8.6304E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      C      6    000.96    000.20   
     Cr     24    022.29    020.01   
     Mn     25    001.69    001.60   
     Fe     26    018.11    017.47   
     Co     27    041.78    042.52   
     Ni     28    012.83    013.00   
     Mo     42    001.45    002.40   
      W     74    000.88    002.79   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    4.558E+01  6.230E+02      13 A        10 A         7 A   
   1.10 keV   4.781E+01  6.472E+02      14 A        11 A         8 A   
   1.20 keV   4.993E+01  6.696E+02      15 A        11 A         8 A   
   1.30 keV   5.197E+01  6.905E+02      16 A        12 A         8 A   
   1.40 keV   5.394E+01  7.101E+02      16 A        12 A         9 A   
   1.50 keV   5.583E+01  7.286E+02      17 A        13 A         9 A   
   1.60 keV   5.766E+01  7.461E+02      18 A        13 A         9 A   
   1.70 keV   5.943E+01  7.626E+02      18 A        13 A         9 A   
   1.80 keV   6.116E+01  7.783E+02      19 A        14 A        10 A   
   2.00 keV   6.446E+01  8.075E+02      20 A        14 A        10 A   
   2.25 keV   6.838E+01  8.406E+02      22 A        15 A        11 A   
   2.50 keV   7.207E+01  8.703E+02      23 A        16 A        12 A   
   2.75 keV   7.559E+01  8.974E+02      24 A        17 A        12 A   
   3.00 keV   7.895E+01  9.221E+02      26 A        18 A        13 A   
   3.25 keV   8.218E+01  9.449E+02      27 A        19 A        13 A   
   3.50 keV   8.528E+01  9.660E+02      28 A        20 A        14 A   
   3.75 keV   8.827E+01  9.856E+02      30 A        20 A        15 A   
