 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> December 01, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\K47 in Helium (gas).txt

 Ion = Potassium [19] , Mass = 47 amu

 Target Density =  4.5056E-03 g/cm3 = 9.0442E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.079E-01  1.714E+00    9738 A      1679 A      1246 A   
   1.10 keV   1.132E-01  1.771E+00    1.02 um     1753 A      1308 A   
   1.20 keV   1.182E-01  1.824E+00    1.07 um     1824 A      1369 A   
   1.30 keV   1.230E-01  1.873E+00    1.12 um     1891 A      1428 A   
   1.40 keV   1.277E-01  1.919E+00    1.17 um     1957 A      1485 A   
   1.50 keV   1.322E-01  1.961E+00    1.22 um     2020 A      1540 A   
   1.60 keV   1.365E-01  2.001E+00    1.26 um     2081 A      1594 A   
   1.70 keV   1.407E-01  2.038E+00    1.30 um     2141 A      1647 A   
   1.80 keV   1.448E-01  2.073E+00    1.35 um     2199 A      1699 A   
   2.00 keV   1.526E-01  2.138E+00    1.43 um     2313 A      1800 A   
   2.25 keV   1.619E-01  2.210E+00    1.53 um     2449 A      1921 A   
   2.50 keV   1.706E-01  2.274E+00    1.63 um     2578 A      2038 A   
   2.75 keV   1.790E-01  2.331E+00    1.73 um     2702 A      2150 A   
   3.00 keV   1.869E-01  2.383E+00    1.82 um     2822 A      2260 A   
   3.25 keV   1.945E-01  2.430E+00    1.91 um     2937 A      2366 A   
   3.50 keV   2.019E-01  2.472E+00    2.00 um     3050 A      2470 A   
   3.75 keV   2.090E-01  2.511E+00    2.09 um     3159 A      2572 A   
   4.00 keV   2.158E-01  2.547E+00    2.18 um     3266 A      2671 A   
