 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\K47 in Helium500Torr.txt

 Ion = Potassium [19] , Mass = 47 amu

 Target Density =  3.4360E-03 g/cm3 = 6.8972E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    8.230E-02  1.307E+00    1.28 um     2202 A      1634 A   
   1.10 keV   8.631E-02  1.351E+00    1.34 um     2299 A      1716 A   
   1.20 keV   9.015E-02  1.391E+00    1.41 um     2391 A      1795 A   
   1.30 keV   9.383E-02  1.428E+00    1.47 um     2480 A      1872 A   
   1.40 keV   9.737E-02  1.463E+00    1.53 um     2566 A      1947 A   
   1.50 keV   1.008E-01  1.495E+00    1.59 um     2649 A      2020 A   
   1.60 keV   1.041E-01  1.526E+00    1.65 um     2729 A      2091 A   
   1.70 keV   1.073E-01  1.554E+00    1.71 um     2808 A      2160 A   
   1.80 keV   1.104E-01  1.581E+00    1.77 um     2884 A      2228 A   
   2.00 keV   1.164E-01  1.631E+00    1.88 um     3033 A      2360 A   
   2.25 keV   1.234E-01  1.686E+00    2.01 um     3211 A      2519 A   
   2.50 keV   1.301E-01  1.734E+00    2.14 um     3380 A      2672 A   
   2.75 keV   1.365E-01  1.778E+00    2.27 um     3543 A      2820 A   
   3.00 keV   1.425E-01  1.817E+00    2.39 um     3700 A      2963 A   
   3.25 keV   1.484E-01  1.853E+00    2.51 um     3852 A      3103 A   
   3.50 keV   1.540E-01  1.885E+00    2.63 um     3999 A      3239 A   
   3.75 keV   1.594E-01  1.915E+00    2.74 um     4143 A      3372 A   
   4.00 keV   1.646E-01  1.942E+00    2.86 um     4282 A      3503 A   
