 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\K47 in Ice.txt

 Ion = Potassium [19] , Mass = 47 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.682E+01  2.328E+02      63 A        20 A        15 A   
   1.10 keV   1.764E+01  2.408E+02      66 A        21 A        16 A   
   1.20 keV   1.843E+01  2.482E+02      69 A        22 A        16 A   
   1.30 keV   1.918E+01  2.551E+02      73 A        23 A        17 A   
   1.40 keV   1.991E+01  2.615E+02      76 A        23 A        18 A   
   1.50 keV   2.060E+01  2.674E+02      79 A        24 A        18 A   
   1.60 keV   2.128E+01  2.730E+02      81 A        25 A        19 A   
   1.70 keV   2.193E+01  2.783E+02      84 A        26 A        19 A   
   1.80 keV   2.257E+01  2.833E+02      87 A        26 A        20 A   
   2.00 keV   2.379E+01  2.925E+02      93 A        28 A        21 A   
   2.25 keV   2.523E+01  3.027E+02      99 A        29 A        22 A   
   2.50 keV   2.660E+01  3.118E+02     106 A        31 A        24 A   
   2.75 keV   2.790E+01  3.200E+02     112 A        32 A        25 A   
   3.00 keV   2.914E+01  3.274E+02     118 A        34 A        26 A   
   3.25 keV   3.033E+01  3.341E+02     124 A        35 A        27 A   
   3.50 keV   3.147E+01  3.402E+02     130 A        37 A        29 A   
   3.75 keV   3.258E+01  3.459E+02     136 A        38 A        30 A   
   4.00 keV   3.365E+01  3.511E+02     142 A        40 A        31 A   
   4.50 keV   3.569E+01  3.604E+02     153 A        42 A        33 A   
