 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in Al.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  2.7020E+00 g/cm3 = 6.0305E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Al     13    100.00    100.00   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    2.874E+01  2.742E+00     155 A       143 A       111 A   
   1.10 keV   3.014E+01  2.693E+00     169 A       151 A       118 A   
   1.20 keV   3.149E+01  2.644E+00     183 A       159 A       125 A   
   1.30 keV   3.277E+01  2.597E+00     196 A       167 A       131 A   
   1.40 keV   3.401E+01  2.551E+00     210 A       174 A       137 A   
   1.50 keV   3.520E+01  2.507E+00     223 A       181 A       143 A   
   1.60 keV   3.636E+01  2.464E+00     237 A       188 A       149 A   
   1.70 keV   3.747E+01  2.422E+00     250 A       194 A       155 A   
   1.80 keV   3.856E+01  2.382E+00     263 A       200 A       161 A   
   2.00 keV   4.065E+01  2.306E+00     289 A       212 A       171 A   
   2.25 keV   4.283E+01  2.218E+00     321 A       226 A       184 A   
   2.50 keV   4.488E+01  2.137E+00     353 A       239 A       196 A   
   2.75 keV   4.682E+01  2.062E+00     385 A       251 A       207 A   
   3.00 keV   4.867E+01  1.994E+00     417 A       262 A       218 A   
   3.25 keV   5.043E+01  1.930E+00     448 A       273 A       229 A   
   3.50 keV   5.212E+01  1.871E+00     478 A       283 A       239 A   
   3.75 keV   5.375E+01  1.816E+00     509 A       292 A       249 A   
   4.00 keV   5.533E+01  1.765E+00     539 A       302 A       258 A   
   4.50 keV   5.836E+01  1.672E+00     598 A       319 A       276 A   
   5.00 keV   6.126E+01  1.590E+00     656 A       334 A       293 A   
