 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton_in_Helium500Torr.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  3.4630E-03 g/cm3 = 6.9514E+20 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.324E-02  2.240E-02   13.39 um     7.60 um     6.01 um  
   1.10 keV   1.388E-02  2.129E-02   15.13 um     8.41 um     6.72 um  
   1.20 keV   1.450E-02  2.030E-02   16.90 um     9.23 um     7.44 um  
   1.30 keV   1.509E-02  1.941E-02   18.72 um    10.04 um     8.16 um  
   1.40 keV   1.566E-02  1.861E-02   20.57 um    10.84 um     8.89 um  
   1.50 keV   1.621E-02  1.788E-02   22.46 um    11.64 um     9.62 um  
   1.60 keV   1.675E-02  1.722E-02   24.37 um    12.43 um    10.35 um  
   1.70 keV   1.726E-02  1.661E-02   26.30 um    13.22 um    11.09 um  
   1.80 keV   1.776E-02  1.605E-02   28.26 um    13.99 um    11.82 um  
   2.00 keV   1.872E-02  1.505E-02   32.23 um    15.51 um    13.28 um  
   2.25 keV   2.211E-02  1.398E-02   37.11 um    17.26 um    15.07 um  
   2.50 keV   2.586E-02  1.308E-02   41.73 um    18.81 um    16.73 um  
   2.75 keV   2.980E-02  1.229E-02   46.09 um    20.18 um    18.25 um  
   3.00 keV   3.393E-02  1.161E-02   50.20 um    21.38 um    19.62 um  
   3.25 keV   3.824E-02  1.101E-02   54.07 um    22.43 um    20.86 um  
   3.50 keV   4.272E-02  1.048E-02   57.71 um    23.36 um    21.98 um  
   3.75 keV   4.736E-02  1.000E-02   61.15 um    24.18 um    22.98 um  
