 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> March 27, 2020 
 ==================================================================

 Disk File Name = SRIM Outputs\Proton in Ice.txt

 Ion = Hydrogen [1] , Mass = 1 amu

 Target Density =  9.2000E-01 g/cm3 = 1.0409E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     He      2    022.73    016.39   
      H      1    051.51    009.35   
      O      8    025.76    074.25   
 ====================================
 Bragg Correction = 12.20%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999.999 eV    1.442E+01  3.436E+00     358 A       213 A       176 A   
   1.10 keV   1.512E+01  3.284E+00     393 A       228 A       189 A   
   1.20 keV   1.580E+01  3.148E+00     426 A       241 A       202 A   
   1.30 keV   1.644E+01  3.025E+00     460 A       254 A       214 A   
   1.40 keV   1.706E+01  2.913E+00     493 A       266 A       226 A   
   1.50 keV   1.766E+01  2.810E+00     526 A       278 A       237 A   
   1.60 keV   1.824E+01  2.716E+00     559 A       289 A       248 A   
   1.70 keV   1.880E+01  2.630E+00     591 A       300 A       258 A   
   1.80 keV   1.935E+01  2.550E+00     623 A       311 A       269 A   
   2.00 keV   2.039E+01  2.405E+00     686 A       330 A       288 A   
   2.25 keV   2.155E+01  2.250E+00     764 A       353 A       311 A   
   2.50 keV   2.267E+01  2.117E+00     840 A       373 A       333 A   
   2.75 keV   2.375E+01  2.002E+00     915 A       392 A       354 A   
   3.00 keV   2.481E+01  1.900E+00     988 A       410 A       373 A   
   3.25 keV   2.583E+01  1.809E+00    1060 A       426 A       391 A   
   3.50 keV   2.684E+01  1.728E+00    1130 A       441 A       409 A   
   3.75 keV   2.782E+01  1.656E+00    1199 A       456 A       425 A   
   4.00 keV   2.878E+01  1.590E+00    1266 A       469 A       441 A   
   4.50 keV   3.067E+01  1.474E+00    1397 A       493 A       470 A   
