"E(level)(keV)","XREF","Jπ(level)","T1/2(level)","E(γ)(keV)","I(γ)","M(γ)","Final Levels","Alpha",
"0.0","ABCDEFGHIJKL NOPQR T VW","0+","STABLE","","","","","","",
"121.7818 3","ABCDEFGHIJKLMNOPQRSTUVW","2+","1.403 ns 11","121.7817 3","100","E2","0.0","0+","1.155",
"366.4793 9","ABCDEFGH JKLMN  QRS   W","4+","57.7 ps 6","244.6974 8","100","E2","121.7818","2+","0.1073",
"684.751 21","A  DEF H JKL N  QR","0+","6.10 ps 14","562.98 3 ,    684.85 20","100.0 19 ,","E2, E0","121.7818,       0.0","2+, 0+","",
"706.928 17","BCD F H JKLMN        W","6+","10.29 ps 16","340.45 3","100","E2","366.4793","4+","",
"810.453 5","AB DEFGH JKLMN  Q","2+","7.4 ps 4","125.64 7 ,    444.00 3 ,    688.670 5 ,    810.451 5","0.599 22 ,      34.8 13 ,     100.0 6 ,      37.0 3","[E2], E2, E0+M1+E2, E2","684.751,     366.4793,     121.7818,       0.0","0+, 4+, 2+, 0+","",
"963.358 5","A  DEFG IJKL     R","1-","20.5 fs 16","152.77 16 ,    278.7 3 ,    841.570 5 ,    963.367 5","0.0126 11 ,  ,     100.0 18 ,      82.3 13","[E1], [E1], E1, [E1]","810.453,     684.751,     121.7818,       0.0","2+, 0+, 2+, 0+","",
"1022.970 5","B D F H JKLMN","4+","8.3 ps 13","212.43 11 ,    316.13 13 ,    656.489 5 ,    901.19 5","14.4 4 ,       7.00 4 ,     100.0 15 ,      59.2 17","E2, (E2), E2+M1+E0, E2","810.453,     706.928,     366.4793,     121.7818","2+, 6+, 4+, 2+","",
"1041.122 4","AB DEFGH JKL N","3-","27 fs 5","674.65 3 ,    919.337 4","40.4 8 ,     100.0 10","E1, E1","366.4793,     121.7818","4+, 2+","",
"1082.842 18","A  DE    JK     QR","0+","15 ps 6","119.46 12 ,    272.41 4 ,    398.00 15 ,    961.08 3 ,   1082.8 5","8.1 7 ,       7.8 5 ,  ,     100 6 ,","[E1], (E2), E0, [E2], E0","963.358,     810.453,     684.751,     121.7818,       0.0","1-, 2+, 0+, 2+, 0+","",
"1085.841 5","AB DEFGH JKL N","2+","1.09 ps 14","275.41 4 ,    401.29 9 ,    719.346 7 ,    964.057 5 ,   1085.837 10","0.238 6 ,       0.0044 3 ,       1.72 6 ,     100.00 24 ,      69.71 19","M1, [E2], E2, E2+M1, E2","810.453,     684.751,     366.4793,     121.7818,       0.0","2+, 0+, 4+, 2+, 0+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"1125.39 3","F   JKL          W","8+","3.06 ps 4","418.45 3","100","E2","706.928","6+","",
"1221.64 3","D F H JKLMN","5-","73 fs +16-12","514.78 6 ,    855.21 7","21.9 5 ,     100 3","[E1], E1+M2","706.928,     366.4793","6+, 4+","",
"1226?","L N","(2+)","","","","","","","",
"1233.863 3","AB D FGH JKL","3+","0.76 ps 14","147.99 5 ,    210.95 14 ,    423.45 4 ,    867.380 3 ,   1112.076 3","0.150 8 ,       0.0278 12 ,       0.0218 16 ,      30.93 18 ,     100.0 5","M1+E2, [M1,E2], [M1,E2], M1+E2, M1+E2","1085.841,    1022.970,     810.453,     366.4793,     121.7818","2+, 4+, 2+, 4+, 2+","",
"1292.773 10","A  DEFGH JKL N  Q","2+","< 16 ps","207.03 23 ,    209.97 3 ,    251.633 9 ,    269.84 6 ,    329.436 17 ,    482.35 14 ,    608.06 15 ,    926.29 4 ,   1170.98 4 ,   1292.77 4","0.42 9 ,       1.58 26 ,      24.6 7 ,       2.88 19 ,      44.5 9 ,       9.1 3 ,       0.10 3 ,     100.0 12 ,      13.7 6 ,      36.9 10","[M1,E2], [E2], E1, [E2], [E1], E0+M1+E2, [E2], [E2], [M1,E2], [E2]","1085.841,    1082.842,    1041.122,    1022.970,     963.358,     810.453,     684.751,     366.4793,     121.7818,       0.0","2+, 0+, 3-, 4+, 1-, 2+, 0+, 4+, 2+, 0+","",
"1310.505 22","B   F   JK","6+","","89.17 8 ,    185.1 10 ,    287.53 4 ,    603.56 3 ,    944.00 5","4.26 18 ,       0.85 34 ,      95 3 ,     100 4 ,      61.3 19",", , E2, E0+M1+E2, E2","1221.64,    1125.39,    1022.970,     706.928,     366.4793","5-, 8+, 4+, 6+, 4+","",
"1371.735 12","B D FG  JKL N","4+","1.1 ps +7-4","137.56 22 ,    150.13 8 ,    285.84 5 ,    330.60 6 ,    348.751 15 ,    561.26 17 ,    664.77 5 ,   1005.27 5 ,   1249.94 5","0.113 20 ,       0.137 12 ,       1.49 24 ,       1.41 16 ,       0.258 24 ,       0.21 4 ,       1.50 8 ,     100.0 16 ,      28.3 4","[M1,E2], [E1], [E2], [E1], [M1,E2], [E2], [E2], M1+E2, E2","1233.863,    1221.64,    1085.841,    1041.122,    1022.970,     810.453,     706.928,     366.4793,     121.7818","3+, 5-, 2+, 3-, 4+, 2+, 6+, 4+, 2+","",
"E(level), (keV)","XREF","Jπ(level)","T1/2(level)","E(γ), (keV)","I(γ)","M(γ)","Final Levels","",
"1505.77 3","F   JK","7-","","380.36 12 ,    798.82 3","4.7 3 ,     100 3","(E1), E1","1125.39,     706.928","8+, 6+","",
"1510.790 25","A   E    JKLMN","1-","91 fs 6","218.10 15 ,    424.3 4 ,    427.9,    469.97 20 ,    547.36 8 ,    700.28 14 ,    826.01 5 ,   1389.03 4 ,   1510.77 5","0.073 9 ,       0.021 9 ,      <0.010,       0.068 11 ,       1.17 7 ,       1.27 9 ,       3.55 21 ,     100.0 21 ,       0.79 3","[E1], [E1], [E1], [E2], [M1,E2], [E1], [E1], E1+M2, [E1]","1292.773,    1085.841,    1082.842,    1041.122,     963.358,     810.453,     684.751,     121.7818,       0.0","2+, 2+, 0+, 3-, 1-, 2+, 0+, 2+, 0+","",
"1529.802 3","A  D F   JK","2-","0.27 ps +6-4","237.11 3 ,    295.9387 17 ,    443.9606 16 ,    488.6792 20 ,    566.438 6 ,    719.36 14 ,   1408.013 3","0.0303 9 ,       2.110 19 ,      13.54 4 ,       1.985 13 ,       0.628 15 ,       0.455 15 ,     100.00 17","[E1], E1, E1+M2, M1+E2, M1+E2, (E1), E1+M2","1292.773,    1233.863,    1085.841,    1041.122,     963.358,     810.453,     121.7818","2+, 3+, 2+, 3-, 1-, 2+, 2+","",
"1559.62 3","BC  F   JK","5+","","325.69 6 ,    852.67 7 ,   1193.10 5","4.71 26 ,      35.1 13 ,     100 3","(E2), M1+E2, M1+E2","1233.863,     706.928,     366.4793","3+, 6+, 4+","",
