Gammas from 152Eu (13.537 y 6)
Eg (keV)     	Ig (%)    	Decay mode
121.7817 3  	28.58 6  	e+b+ 
125.69 13  	0.016 5  	e+b+ 
148.010 17  	0.037 4  	e+b+ 
173.17 15  	0.008 3  	b- 
175.18  	0.0040 11  	e+b+ 
192.60 4  	0.00679 21  	b- 
195.05 24  	0.0061 13  	b- 
202.74 13  	0.0051 11  	e+b+ 
207.6 3  	0.0059 7  	e+b+ 
209.10  	0.  		e+b+ 
209.41 13  	0.0055 5  	b- 
212.568 15  	0.0198 5  	e+b+ 
237.31 5  	0.0094 13  	e+b+ 
239.42 17  	0.0046 19  	e+b+ 
244.6975 8  	7.583 19  	e+b+ 
251.630 7  	0.072 3  	e+b+ 
269.86 6  	0.0083 8  	e+b+ 
271.131 8  	0.0729 21  	b- 
275.449 15  	0.0335 21  	e+b+ 
285.98 3  	0.0099 8  	e+b+ 
295.9392 17  	0.447 5  	e+b+ 
315.174 17  	0.0507 13  	b- 
316.3 1  	0.0021 13  	e+b+ 
320.03 15  	0.0016 5  	e+b+ 
324.83 3  	0.072 3  	b- 
329.425 21  	0.128 8  	e+b+ 
330.54 10  	0.0059 16  	e+b+ 
340.40 14  	0.036 3  	e+b+ 
344.2785 12  	26.5 4  	b- 
351.66 4  	0.0093 13  	b- 
357.26 5  	0.0040 8  	e+b+ 
358.13  	0.  		e+b+ 
367.7887 16  	0.861 5  	b- 
379.37 6  	0.00083 21  	e+b+ 
385.69 20  	0.0051 8  	e+b+ 
387.90 8  	0.00292 21  	b- 
387.90 8  	0.00294 21  	e+b+ 
389.07 11  	0.0035 13  	e+b+ 
391.32 14  	0.00126 21  	e+b+ 
395.75 19  	0.008 3  	e+b+ 
406.74 15  	0.00083 21  	e+b+ 
411.1163 11  	2.234 4  	b- 
416.048 8  	0.1100 19  	e+b+ 
423.45 4  	0.0032 6  	e+b+ 
440.86 10  	0.0134 16  	e+b+ 
441.00  	0.  		e+b+ 
441.1 4  	0.0133 16  	b- 
443.96 4  	0.327 19  	e+b+ 
443.965 3  	2.821 19  	e+b+ 
482.3 4  	0.0014 6  	b- 
482.31 3  	0.0292 24  	e+b+ 
482.43  	0.  		e+b+ 
488.6792 20  	0.419 3  	e+b+ 
493.508 20  	0.0294 21  	e+b+ 
494.0 3  	0.0098 11  	b- 
496.39 3  	0.0042 4  	b- 
