#  Sat Jun 15 19:49:52 2019
#  
#  RecalEnergy
#  -spe ../../Data/02A/Prod__4-38-32768-UI__Ampli.spec -sub 38 -num 38 -gain 2 -60Co 
#  
#  Data format UI 32768      Search region 50 32717
#
#  Energies used for the calibration 
#    0  1173.238
#    1  1332.513
#  
#  Spectra taken from file : ../../Data/02A/Prod__4-38-32768-UI__Ampli.spec
#  
# indx  #spec #pks #ok   rEnergy     FW05     FW01      Area  Position  Width   Ampli    WTML    WTMR  slope*gain rChi2%
# 
     0     38    6   2   1332.19    3.995    9.819      1646   4060.73   10.4     109   3.924   1.823    0.656131  24.59
     1     39    6   2   1332.90    4.463   12.798       655   4006.12    7.1      37   9.003   1.823    0.665434  34.99
     2     40    6   2   1333.75    3.312    9.233       477   3808.05    5.7      38   7.389   1.823    0.700489 349.45
     3     41    6   1      0.00    0.000    0.000         0      0.00    0.0       0   0.000   0.000    1.210943   0.00
     4     42    6   2   1332.48    6.743   20.388       633   3574.74    6.6      26  14.708   1.823    0.745495   0.31
     5     43    5   2   1333.34    4.306   11.254       489   3595.05    8.7      33   5.143   1.823    0.741765 157.83
     6     44    6   2   1332.34    3.761   10.004      1595   3662.79    7.4     120   5.617   1.823    0.727498   7.00
     7     45    6   2   1333.18    4.743   12.919       598   4006.55    9.4      32   6.408   1.823    0.665502 102.87
     8     46    6   2   1332.92    5.375    9.796       357   3688.91   14.9      23   1.823   1.823    0.722665  38.52
     9     47    6   2   1333.18    5.508   16.850       563   3727.92    5.0      27  16.938   1.823    0.715241 102.54
    10     48    6   2   1331.56    5.837   10.639       229   3572.58   15.7      14   1.823   1.823    0.745430 209.29
    11     49    6   1      0.00    0.000    0.000         0      0.00    0.0       0   0.000   0.000    6.482511   0.00
    12     50    6   2   1332.47    3.626    9.623      1477   3867.85    7.6     109   5.549   1.823    0.688996   0.47
    13     51    6   2   1333.25    2.841    8.057       403   4278.77    5.1      33   8.307   1.823    0.623192 124.34
    14     52    6   2   1331.71    5.064    9.230       301   3988.48   15.2      19   1.823   1.823    0.667779 147.23
    15     53    6   2   1321.38   17.060   34.155        63    272.75    3.5      16   1.823   2.182    9.689445 999.99
    16     54    6   1      0.00    0.000    0.000         0      0.00    0.0       0   0.000   0.000    8.449049   0.00
    17     55    6   1   1332.51  199.464  363.998      1461    237.16   35.5      38   1.823   1.827   11.237426   0.00
    18     56    6   2   1332.51    3.942   10.792      1210   3867.76    7.4      81   6.596   1.823    0.689036   0.00
    19     57    6   2   1332.47    4.558    8.308       235   3893.04   13.3      17   1.823   1.823    0.684542   0.34
    20     58    6   2   1333.24    4.153   10.683       196   3855.55    9.4      13   4.766   1.823    0.691595 121.43
    21     59    6   1   1332.51    6.091   15.447        63    405.73    1.5      27   4.469   1.823    6.568444   0.00
    22     60    6   2   1325.37   37.593   97.288       103    418.03    9.1       7   4.902   1.823    6.341030 999.99
    23     61    6   2   1333.27    3.668    9.606       181   4140.02    8.5      12   5.195   1.823    0.644091 132.96
    24     62    0   0      0.00    0.000    0.000         0      0.00    0.0       0   0.000   0.000    0.000000  -0.00
    25     63    2   2   1332.57    7.721   23.397       808   1582.58    3.3      64  15.080   1.823    1.684042   0.68
    26     64    6   2   1329.07   13.168   28.569       925   1644.70   15.9      49   2.616   1.823    1.616182 999.99
    27     65    4   2   1330.47   11.523   23.942       840   1611.13   13.9      53   2.355   1.823    1.651601 951.04
    28     66    3   2   1333.80    7.014   19.007       715   1472.86    5.2      71   6.218   1.823    1.811173 382.67
    29     67    2   2   1333.92    4.513   12.546       370   1597.62    3.3      52   7.250   1.823    1.669889 454.91
    30     68    6   2   1332.82    4.101   10.961      1575   3949.25    8.6     101   5.765   1.823    0.674974  21.67
    31     69    6   2   1332.55    4.410    8.038       424   4024.88   13.3      30   1.823   1.823    0.662159   0.38
    32     70    6   2   1333.25    4.874    8.883       527   4213.97   15.4      32   1.823   1.823    0.632775 124.20
    33     71    6   2   1332.43    4.667   13.414       746   3879.21    7.1      41   9.170   1.823    0.686960   1.51
    34     72    6   1      0.00    0.000    0.000         0      0.00    0.0       0   0.000   0.000    5.276598   0.00
    35     73    6   2   1332.18    4.551   13.577       299   3631.83    5.1      18  12.720   1.823    0.733614  25.27
    36     74    6   2   1332.47    3.104    6.943     28929   3207.16    7.2    3265   2.846   1.823    0.830934   0.44
    37     75    2   2   1332.86    4.157    9.167     29000   1793.39    5.4    4408   2.734   1.823    1.486417  27.88
