#  Sat Jun 15 19:49:52 2019
#  
#  RecalEnergy
#  -spe ../../Data/06B/Prod__4-38-32768-UI__Ampli.spec -sub 38 -num 38 -gain 2 -60Co 
#  
#  Data format UI 32768      Search region 50 32717
#
#  Energies used for the calibration 
#    0  1173.238
#    1  1332.513
#  
#  Spectra taken from file : ../../Data/06B/Prod__4-38-32768-UI__Ampli.spec
#  
# indx  #spec #pks #ok   rEnergy     FW05     FW01      Area  Position  Width   Ampli    WTML    WTMR  slope*gain rChi2%
# 
     0     38    6   2   1332.58    2.166    3.964     13953   3601.50    5.9    2224   1.837   1.823    0.740015   1.07
     1     39    6   2   1333.98    2.181    4.021      7907   3692.70    6.0    1219   1.865   1.823    0.722497 496.89
     2     40    6   2   1332.50    2.004    3.688      9723   3624.37    5.5    1661   1.858   1.823    0.735299   0.05
     3     41    6   2   1332.47    2.014    3.716     10493   3689.39    5.6    1749   1.868   1.823    0.722328   0.35
     4     42    6   2   1332.57    2.064    3.763      9558   3661.48    5.7    1576   1.823   1.823    0.727887   0.78
     5     43    6   2   1332.55    2.271    4.140     10867   3704.25    6.3    1610   1.823   1.823    0.719471   0.28
     6     44    6   2   1332.61    2.066    3.766     19822   3573.03    5.5    3348   1.823   1.823    0.745928   2.28
     7     45    6   2   1332.46    1.962    3.592     15466   3750.87    5.5    2608   1.839   1.823    0.710478   0.74
     8     46    6   2   1332.71    2.005    3.660     21327   3692.25    5.6    3588   1.828   1.823    0.721895   8.90
     9     47    6   2   1332.55    1.991    3.639     24294   3719.14    5.6    4073   1.832   1.823    0.716593   0.40
    10     48    6   2   1332.69    2.059    3.755     19899   3680.73    5.7    3269   1.826   1.823    0.724143   6.97
    11     49    6   2   1332.51    2.061    3.782     17990   3617.95    5.6    2987   1.845   1.826    0.736609   0.00
    12     50    6   2   1332.34    2.123    3.905     17769   3632.45    5.8    2858   1.857   1.823    0.733577   6.74
    13     51    6   2   1332.51    2.071    3.792     14971   3776.83    5.9    2378   1.840   1.823    0.705621   0.01
    14     52    6   2   1332.63    2.181    4.006     23203   3614.25    5.9    3651   1.852   1.823    0.737431   3.21
    15     53    6   2   1332.72    2.122    3.887     30534   3682.56    5.9    4845   1.840   1.824    0.723802  10.11
    16     54    6   2   1332.37    2.066    3.784     32083   3718.60    5.8    5176   1.839   1.825    0.716596   4.89
    17     55    6   2   1332.56    2.030    3.739     30866   3743.70    5.7    5033   1.861   1.823    0.711895   0.53
    18     56    6   2   1332.48    2.155    3.959     11848   3653.61    5.9    1869   1.851   1.823    0.729403   0.30
    19     57    6   2   1332.46    1.992    3.652      7156   3669.94    5.5    1216   1.843   1.823    0.726147   0.69
    20     58    6   2   1332.60    2.004    3.702     10997   3711.48    5.6    1831   1.872   1.823    0.718094   1.56
    21     59    6   2   1332.37    2.080    3.801     18178   3703.74    5.8    2928   1.826   1.828    0.719474   4.43
    22     60    6   2   1332.55    2.061    3.773     22764   3654.08    5.7    3747   1.833   1.828    0.729347   0.28
    23     61    6   2   1332.44    2.046    3.739     25920   3623.86    5.6    4339   1.825   1.831    0.735371   1.18
    24     62    6   2   1332.54    2.280    4.221     12398   3731.46    6.4    1803   1.880   1.823    0.714221   0.22
    25     63    6   2   1332.69    2.074    3.797      8374   3664.13    5.7    1371   1.838   1.823    0.727424   7.22
    26     64    6   2   1332.59    2.033    3.737     16541   3712.45    5.7    2712   1.852   1.824    0.717901   1.22
    27     65    6   2   1332.40    2.111    3.880     28128   3741.71    5.9    4404   1.844   1.830    0.712189   2.79
    28     66    6   2   1332.50    2.092    3.833     35626   3722.20    5.8    5678   1.823   1.843    0.715973   0.05
    29     67    6   2   1332.69    2.003    3.727     38727   3675.01    5.5    6468   1.836   1.885    0.725274   7.41
    30     68    6   2   1332.59    2.246    4.320     12110   3746.74    6.3    1748   2.024   1.823    0.711335   1.44
    31     69    6   2   1332.28    2.728    5.628      7251   3749.57    7.7     829   2.318   1.823    0.710630  12.56
    32     70    6   2   1332.65    2.097    3.837     11669   3614.98    5.7    1912   1.837   1.823    0.737294   4.52
    33     71    6   2   1332.55    2.090    3.849     16119   3644.65    5.7    2620   1.860   1.823    0.731235   0.30
    34     72    6   2   1332.48    2.126    3.883     18823   3667.89    5.9    2999   1.831   1.823    0.726563   0.32
    35     73    6   2   1332.62    2.034    3.785     20270   3733.56    5.7    3291   1.899   1.823    0.713863   2.87
    36     74    6   2   1332.69    2.792    5.310    666179   3347.87    7.0   86846   1.823   1.981    0.796140   7.02
    37     75    3   2   1332.71    3.531    6.754    667769   1842.74    4.9  124558   1.831   1.994    1.446440   8.47
