MG11 x=1 ->  x=33
MG11 x=2 ->  x=34
MG11 x=3 ->  x=35
MG11 x=4 ->  x=36
MG11 x=5 ->  x=37
MG11 x=6 ->  x=38
MG11 x=7 ->  x=39
MG11 x=8 ->  x=40
MG11 x=9 ->  x=41
MG11 x=10 ->  x=42
MG11 x=11 ->  x=43
MG11 x=12 ->  x=44
MG11 x=13 ->  x=29
MG11 x=14 ->  x=46
MG11 x=15 ->  x=47
MG11 x=16 ->  x=48
MG11 x=17 ->  x=1
MG11 x=18 ->  x=34
MG11 x=19 ->  x=35
MG11 x=20 ->  x=36
MG11 x=21 ->  x=37
MG11 x=22 ->  x=38
MG11 x=23 ->  x=39
MG11 x=24 ->  x=40
MG11 x=25 ->  x=41
MG11 x=26 ->  x=42
MG11 x=27 ->  x=43
MG11 x=28 ->  x=44
MG11 x=29 ->  x=45
MG11 x=30 ->  x=46
MG11 x=31 ->  x=47
MG11 x=32 ->  x=48
MG11 x=33 ->  x=1
MG11 x=34 ->  x=2
MG11 x=35 ->  x=3
MG11 x=36 ->  x=4
MG11 x=37 ->  x=5
MG11 x=38 ->  x=6
MG11 x=39 ->  x=7
MG11 x=40 ->  x=8
MG11 x=41 ->  x=9
MG11 x=42 ->  x=10
MG11 x=43 ->  x=11
MG11 x=44 ->  x=12
MG11 x=45 ->  x=13
MG11 x=46 ->  x=14
MG11 x=47 ->  x=15
MG11 x=48 ->  x=16
MG11 x=49 ->  x=17
MG11 x=50 ->  x=2
MG11 x=51 ->  x=3
MG11 x=52 ->  x=4
MG11 x=53 ->  x=5
MG11 x=54 ->  x=6
MG11 x=55 ->  x=7
MG11 x=56 ->  x=8
MG11 x=57 ->  x=9
MG11 x=58 ->  x=10
MG11 x=59 ->  x=11
MG11 x=60 ->  x=12
MG11 x=61 ->  x=13
MG11 x=62 ->  x=14
MG11 x=63 ->  x=15
MG11 x=64 ->  x=16


MG11 y=1 ->  y=1
MG11 y=2 ->  y=2
MG11 y=4 ->  y=4
MG11 y=5 ->  y=5
MG11 y=6 ->  y=6
MG11 y=9 ->  y=9
MG11 y=10 ->  y=10
MG11 y=11 ->  y=11
MG11 y=12 ->  y=12
MG11 y=13 ->  y=13
MG11 y=14 ->  y=14
MG11 y=15 ->  y=15
MG11 y=16 ->  y=16
